6.660209020000002056e+03 1.527820000000000000e+01 7.616600000000000037e-01
6.664512949999996636e+03 1.527735999999999983e+01 7.631099999999999550e-01
6.669500269999996817e+03 1.506603999999999921e+01 7.725100000000000300e-01
6.686473420000002079e+03 1.634547999999999845e+01 8.079600000000000115e-01
6.717334470000001602e+03 1.564295000000000080e+01 7.720399999999999485e-01
6.720445639999998093e+03 1.546663000000000032e+01 7.792200000000000237e-01
6.722386960000003455e+03 1.644304999999999950e+01 8.065299999999999692e-01
6.726456830000002810e+03 1.656586000000000070e+01 8.242199999999999527e-01
6.739409509999997681e+03 1.429503000000000057e+01 7.117499999999999938e-01
6.745280579999998736e+03 1.625776000000000110e+01 8.074999999999999956e-01
6.747416259999998147e+03 1.757000000000000028e+01 8.728900000000000547e-01
6.749373480000002019e+03 1.602111000000000018e+01 7.997300000000000519e-01
6.751340340000002470e+03 1.596895999999999916e+01 7.909000000000000474e-01
6.755341399999997520e+03 1.584448000000000079e+01 8.017800000000000482e-01
6.768227149999998801e+03 1.526617000000000068e+01 7.573199999999999932e-01
6.772233879999999772e+03 1.488142000000000031e+01 7.396899999999999586e-01
6.780234010000000126e+03 1.534756999999999927e+01 7.658099999999999907e-01
6.782246740000002319e+03 1.594121999999999950e+01 7.963000000000000078e-01
6.783247960000000603e+03 1.472550000000000026e+01 7.314199999999999591e-01
6.795175410000003467e+03 1.466394999999999982e+01 7.292899999999999938e-01
6.799211609999998473e+03 1.458717000000000041e+01 7.125700000000000367e-01
6.804187469999997120e+03 1.463258000000000081e+01 7.348599999999999577e-01
6.808258739999997488e+03 1.639838999999999913e+01 8.182300000000000129e-01
6.813226690000003146e+03 1.518434000000000061e+01 7.641799999999999704e-01
6.825186199999996461e+03 1.739978999999999942e+01 8.662199999999999900e-01
6.829210729999998875e+03 1.607123999999999953e+01 7.800899999999999501e-01
6.833209739999998419e+03 1.657789999999999964e+01 8.265700000000000269e-01
6.837188849999998638e+03 1.576350000000000051e+01 7.693100000000000493e-01
